tm,MVm,PVm
9.200000000000000000e+01,1.000000000000000000e+00,9.670000000000004980e-02
9.300000000000000000e+01,1.000000000000000000e+00,9.670000000000004980e-02
9.400000000000000000e+01,1.000000000000000000e+00,1.031249999999999944e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.055500000000000327e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.128000000000000114e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.128000000000000114e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.128000000000000114e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.128000000000000114e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.128000000000000114e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.168250000000000399e-01
1.050000000000000000e+02,1.000000000000000000e+00,1.200499999999999901e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.200499999999999901e-01
1.070000000000000000e+02,1.000000000000000000e+00,1.208499999999999019e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.208499999999999019e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.208499999999999019e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.240750000000000186e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.289249999999999008e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.289249999999999008e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.289249999999999008e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.289249999999999008e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.329499999999999571e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.369749999999999857e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.369749999999999857e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.369749999999999857e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.369749999999999857e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.369749999999999857e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.410000000000000142e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.450250000000000428e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.450250000000000428e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.450250000000000428e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.450250000000000428e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.474499999999999145e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.498749999999999249e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.531000000000000694e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.554999999999999716e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.611499999999999599e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.611499999999999599e-01
